Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,,
Low_Risk:Dalembert,120,84.7,599.459,-811,-27.033,3683.689,,,
Low_Risk:Dalembert,121,86.1,564.783,-719,-23.967,3579.689,,,
Low_Risk:Dalembert,122,86.4,431.076,-979,-32.633,3828.033,,,
Low_Risk:Dalembert,123,86.067,658.202,-884,-29.467,3348.533,,,
Low_Risk:Dalembert,124,80.933,656.616,-788,-26.267,4224.478,,,
Low_Risk:Dalembert,125,86.533,522.878,-634,-21.133,3756.671,,,
Low_Risk:Dalembert,126,81.633,720.792,-702,-23.4,4294.455,,,
Low_Risk:Dalembert,127,85.967,391.826,-1119,-37.3,4582.562,,,
Low_Risk:Dalembert,128,89.633,316.654,-775,-25.833,4219.247,,,
Low_Risk:Dalembert,129,89.033,368.447,-739,-24.633,4268.447,,,
Low_Risk:Dalembert,130,86.5,512.397,-850,-28.333,3633.678,,,
Low_Risk:Dalembert,131,95.367,160.93,-441,-14.7,3622.148,,,
Low_Risk:Dalembert,132,89.2,409.89,-760,-25.333,3664.782,,,
Low_Risk:Dalembert,133,85.067,628.892,-933,-31.1,4336.369,,,
Low_Risk:Dalembert,134,92.933,259.995,-465,-15.5,3671.155,,,
Low_Risk:Dalembert,135,87.933,402.892,-749,-24.967,3918.93,,,
Low_Risk:Dalembert,136,81.8,577.752,-1468,-48.933,3882.133,,,
Low_Risk:Dalembert,137,87.567,353.22,-1273,-42.433,3731.909,,,
Low_Risk:Dalembert,138,89.567,452.461,-669,-22.3,3649.459,,,
Low_Risk:Dalembert,139,89.567,417.082,-564,-18.8,3733.959,,,
Low_Risk:Dalembert,140,94.567,145.909,-312,-10.4,3496.455,,,
Low_Risk:Dalembert,141,87.767,326.461,-1066,-35.533,4530.671,,,
Low_Risk:Dalembert,142,85.267,567.789,-1102,-36.733,3547.306,,,
Low_Risk:Dalembert,143,92.167,271.868,-261,-8.7,3561.872,,,
Low_Risk:Dalembert,144,89.233,457.082,-929,-30.967,4293.206,,,
Low_Risk:Dalembert,145,88.3,414.424,-773,-25.767,4266.944,,,
Low_Risk:Dalembert,146,84.1,527.61,-1456,-48.533,3382.878,,,
Low_Risk:Dalembert,147,86.733,474.961,-750,-25,3789.448,,,
Low_Risk:Dalembert,148,86.367,461.551,-1045,-34.833,4194.557,,,
Low_Risk:Dalembert,149,94.567,144.185,-297,-9.9,3285.748,,,
Low_Risk:Dalembert,150,88.367,449.964,-798,-26.6,3513.214,,,
Low_Risk:Dalembert,151,89.5,369.569,-752,-25.067,4011.099,,,
Low_Risk:Dalembert,152,82.033,649.275,-987,-32.9,4156.093,,,
Low_Risk:Dalembert,153,81.767,672.737,-1205,-40.167,3744.489,,,
Low_Risk:Dalembert,154,85.867,415.223,-941,-31.367,4594.792,,,
Low_Risk:Dalembert,155,87.167,478.489,-909,-30.3,3956.976,,,
Low_Risk:Dalembert,156,89.567,439.909,-891,-29.7,3888.631,,,
Low_Risk:Dalembert,157,85.933,428.409,-1279,-42.633,4167.482,,,
Low_Risk:Dalembert,158,94.133,235.43,-50,-1.667,2635.954,,,
Low_Risk:Dalembert,159,89.433,451.357,-466,-15.533,3182.74,,,
Low_Risk:Dalembert,160,82.933,533.651,-1006,-33.533,4833.43,,,
Low_Risk:Dalembert,161,88.367,413.482,-593,-19.767,4250.461,,,
Low_Risk:Dalembert,162,86.133,467.085,-1039,-34.633,3970.309,,,
Low_Risk:Dalembert,163,92.3,237.39,-871,-29.033,3818.861,,,
Low_Risk:Dalembert,164,88.2,486.579,-1071,-35.7,3534.079,,,
Low_Risk:Dalembert,165,92.467,170.189,-842,-28.067,4040.133,,,
Low_Risk:Dalembert,166,90.833,425.73,-381,-12.7,3375.528,,,
Low_Risk:Dalembert,167,94.667,237.678,-175,-5.833,3550.42,,,
