Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,,
Low_Risk:Flat-Bet,156,100,0,-133,-4.433,24.737,,,
Low_Risk:Flat-Bet,157,100,0,-179,-5.967,31.826,,,
Low_Risk:Flat-Bet,158,100,0,-218,-7.267,24.202,,,
Low_Risk:Flat-Bet,159,100,0,-223,-7.433,23.564,,,
Low_Risk:Flat-Bet,160,100,0,-192,-6.4,19.007,,,
Low_Risk:Flat-Bet,161,100,0,-183,-6.1,27.61,,,
Low_Risk:Flat-Bet,162,100,0,-195,-6.5,26.121,,,
Low_Risk:Flat-Bet,163,100,0,-142,-4.733,28.892,,,
Low_Risk:Flat-Bet,164,100,0,-135,-4.5,32.397,,,
Low_Risk:Flat-Bet,165,100,0,-190,-6.333,36.575,,,
Low_Risk:Flat-Bet,166,100,0,-255,-8.5,26.81,,,
Low_Risk:Flat-Bet,167,100,0,-196,-6.533,23.154,,,
Low_Risk:Flat-Bet,168,100,0,-186,-6.2,33.062,,,
Low_Risk:Flat-Bet,169,100,0,-197,-6.567,31.22,,,
Low_Risk:Flat-Bet,170,100,0,-151,-5.033,35.206,,,
Low_Risk:Flat-Bet,171,100,0,-195,-6.5,16.948,,,
Low_Risk:Flat-Bet,172,100,0,-174,-5.8,27.683,,,
Low_Risk:Flat-Bet,173,100,0,-198,-6.6,19.972,,,
Low_Risk:Flat-Bet,174,100,0,-211,-7.033,30.447,,,
Low_Risk:Flat-Bet,175,100,0,-248,-8.267,28.478,,,
Low_Risk:Flat-Bet,176,100,0,-199,-6.633,32.033,,,
Low_Risk:Flat-Bet,177,100,0,-205,-6.833,24.144,,,
Low_Risk:Flat-Bet,178,100,0,-154,-5.133,27.706,,,
Low_Risk:Flat-Bet,179,100,0,-163,-5.433,24.116,,,
Low_Risk:Flat-Bet,180,100,0,-197,-6.567,32.047,,,
Low_Risk:Flat-Bet,181,100,0,-195,-6.5,34.121,,,
Low_Risk:Flat-Bet,182,100,0,-269,-8.967,28.861,,,
Low_Risk:Flat-Bet,183,100,0,-177,-5.9,19.403,,,
Low_Risk:Flat-Bet,184,100,0,-216,-7.2,21.683,,,
Low_Risk:Flat-Bet,185,100,0,-240,-8,21.103,,,
Low_Risk:Flat-Bet,186,100,0,-192,-6.4,32.317,,,
Low_Risk:Flat-Bet,187,100,0,-191,-6.367,21.964,,,
Low_Risk:Flat-Bet,188,100,0,-183,-6.1,26.369,,,
Low_Risk:Flat-Bet,189,100,0,-201,-6.7,21.528,,,
Low_Risk:Flat-Bet,190,100,0,-118,-3.933,43.03,,,
Low_Risk:Flat-Bet,191,100,0,-267,-8.9,21.886,,,
Low_Risk:Flat-Bet,192,100,0,-209,-6.967,27.275,,,
Low_Risk:Flat-Bet,193,100,0,-219,-7.3,33.528,,,
Low_Risk:Flat-Bet,194,100,0,-158,-5.267,29.237,,,
Low_Risk:Flat-Bet,195,100,0,-168,-5.6,32.317,,,
Low_Risk:Flat-Bet,196,100,0,-236,-7.867,25.499,,,
Low_Risk:Flat-Bet,197,100,0,-189,-6.3,33.872,,,
Low_Risk:Flat-Bet,198,100,0,-179,-5.967,32.447,,,
Low_Risk:Flat-Bet,199,100,0,-168,-5.6,30.317,,,
Low_Risk:Flat-Bet,200,100,0,-252,-8.4,23.559,,,
Low_Risk:Flat-Bet,201,100,0,-184,-6.133,26.74,,,
Low_Risk:Flat-Bet,202,100,0,-189,-6.3,13.459,,,
Low_Risk:Flat-Bet,203,100,0,-234,-7.8,38.303,,,
Low_Risk:Flat-Bet,204,100,0,-141,-4.7,21.39,,,
Low_Risk:Flat-Bet,205,100,0,-237,-7.9,31.541,,,
Low_Risk:Flat-Bet,206,100,0,-250,-8.333,39.402,,,
Low_Risk:Flat-Bet,207,100,0,-210,-7,16.897,,,
Low_Risk:Flat-Bet,208,100,0,-199,-6.633,22.378,,,
Low_Risk:Flat-Bet,209,100,0,-188,-6.267,24.616,,,
Low_Risk:Flat-Bet,210,100,0,-177,-5.9,26.093,,,
Low_Risk:Flat-Bet,211,100,0,-221,-7.367,34.93,,,
Low_Risk:Flat-Bet,212,100,0,-175,-5.833,25.454,,,
Low_Risk:Flat-Bet,213,100,0,-214,-7.133,23.085,,,
Low_Risk:Flat-Bet,214,100,0,-159,-5.3,22.838,,,
Low_Risk:Flat-Bet,215,100,0,-169,-5.633,36.585,,,
Low_Risk:Flat-Bet,216,100,0,-206,-6.867,25.706,,,
Low_Risk:Flat-Bet,217,100,0,-196,-6.533,13.154,,,
Low_Risk:Flat-Bet,218,100,0,-210,-7,27.586,,,
Low_Risk:Flat-Bet,219,100,0,-210,-7,24.828,,,
Low_Risk:Flat-Bet,220,100,0,-194,-6.467,30.464,,,
Low_Risk:Flat-Bet,221,100,0,-185,-6.167,32.144,,,
Low_Risk:Flat-Bet,222,100,0,-172,-5.733,22.961,,,
Low_Risk:Flat-Bet,223,100,0,-190,-6.333,24.092,,,
Low_Risk:Flat-Bet,224,100,0,-208,-6.933,23.651,,,
Low_Risk:Flat-Bet,225,100,0,-177,-5.9,31.403,,,
Low_Risk:Flat-Bet,226,100,0,-176,-5.867,29.775,,,
Low_Risk:Flat-Bet,227,100,0,-228,-7.6,30.662,,,
Low_Risk:Flat-Bet,228,100,0,-216,-7.2,23.545,,,
Low_Risk:Flat-Bet,229,100,0,-203,-6.767,28.047,,,
Low_Risk:Flat-Bet,230,100,0,-209,-6.967,29.551,,,
Low_Risk:Flat-Bet,231,100,0,-218,-7.267,23.03,,,
Low_Risk:Flat-Bet,232,100,0,-224,-7.467,25.223,,,
Low_Risk:Flat-Bet,233,100,0,-247,-8.233,21.357,,,
Low_Risk:Flat-Bet,234,100,0,-239,-7.967,32.792,,,
