Player,replication,avg_num_rounds,variance_rounds,sum_profits,mean_day_profits,variance_profits,,fibonacci mean day profit,,,fibonacci mean sum profits,
Moderate_Risk:Fibonacci,121,58.567,1048.254,743,24.767,64225.013,,,,,,
Moderate_Risk:Fibonacci,122,45.1,700.921,-1319,-43.967,48710.792,,,,,,
Moderate_Risk:Fibonacci,123,52.767,821.013,-1415,-47.167,21066.902,,,,,,
Moderate_Risk:Fibonacci,124,40.267,506.754,-2604,-86.8,3269.407,,,,,,
Moderate_Risk:Fibonacci,125,52.567,1090.53,1242,41.4,93543.903,,,,,,
Moderate_Risk:Fibonacci,126,50.9,901.128,-410,-13.667,49642.92,,,,,,
Moderate_Risk:Fibonacci,127,49.2,1075.476,-169,-5.633,45514.171,,,,,,
Moderate_Risk:Fibonacci,128,47.933,677.168,-326,-10.867,196849.568,,,,,,
Moderate_Risk:Fibonacci,129,48.633,695.482,-2011,-67.033,11201.964,,,,,,
Moderate_Risk:Fibonacci,130,50.533,813.292,282,9.4,125470.593,,,,,,
Moderate_Risk:Fibonacci,131,49.367,1200.792,2260,75.333,109066.644,,,,,,
Moderate_Risk:Fibonacci,132,46.433,1090.53,838,27.933,145607.995,,,,,,
Moderate_Risk:Fibonacci,133,54.633,914.861,-189,-6.3,46337.597,,,,,,
Moderate_Risk:Fibonacci,134,49.067,1021.857,-1755,-58.5,12663.707,,,,,,
Moderate_Risk:Fibonacci,135,50.5,970.672,190,6.333,136245.609,,,,,,
Moderate_Risk:Fibonacci,136,54.633,920.999,-268,-8.933,30188.202,,,,,,
Moderate_Risk:Fibonacci,137,50.7,722.7,-1544,-51.467,23999.499,,,,,,
Moderate_Risk:Fibonacci,138,46.767,985.978,81,2.7,91699.872,,,,,,
Moderate_Risk:Fibonacci,139,44.133,956.464,-765,-25.5,30810.948,,,,,,
Moderate_Risk:Fibonacci,140,48.867,1156.74,-606,-20.2,34733.89,,,,,,
Moderate_Risk:Fibonacci,141,56.533,1018.12,2053,68.433,100446.737,,,,,,
Moderate_Risk:Fibonacci,142,49.767,1017.426,891,29.7,157756.286,,,,,,
Moderate_Risk:Fibonacci,143,45.7,861.183,-1857,-61.9,14554.093,,,,,,
Moderate_Risk:Fibonacci,144,51.3,731.803,-2268,-75.6,9298.386,,,,,,
Moderate_Risk:Fibonacci,145,47.767,881.978,-1921,-64.033,12689.757,,,,,,
Moderate_Risk:Fibonacci,146,53.467,1016.189,-1036,-34.533,25625.016,,,,,,
Moderate_Risk:Fibonacci,147,51.167,1388.695,2759,91.967,151278.309,,,,,,
Moderate_Risk:Fibonacci,148,54.033,845.344,-269,-8.967,42392.24,,,,,,
Moderate_Risk:Fibonacci,149,47.6,975.628,-1447,-48.233,20476.392,,,,,,
Moderate_Risk:Fibonacci,150,43.167,705.661,-2276,-75.867,9825.637,,,,,,
Moderate_Risk:Fibonacci,151,51.133,1030.395,-832,-27.733,26041.168,,,,,,
Moderate_Risk:Fibonacci,152,46.667,1014.644,-1164,-38.8,30276.441,,,,,,
Moderate_Risk:Fibonacci,153,55.467,1056.878,1109,36.967,71509.068,,,,,,
